"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms"
"2025-10-28 08:13:27","ARCO-PE0DQH8J","bruno.chervinski","Taboão da Serra","SP","200.186.148.18","Cirion Technologies do Brasil Ltda","200.186.148.18","meet.google.com","29","True","100","Excelente","172.22.112.1","2","177.135.92.218","2","152.255.149.236","2","152.255.161.172","12","74.125.52.64","15","192.178.82.55","13","209.85.249.37","13","142.250.219.238","12"
"2025-10-28 08:23:48","ARCO-PE0DQH8J","bruno.chervinski","Taboão da Serra","SP","200.186.148.18","Cirion Technologies do Brasil Ltda","200.186.148.18","meet.google.com","16","True","100","Excelente","172.22.112.1","2","177.135.92.218","14","152.255.149.236","3","152.255.164.240","10","74.125.52.64","9","142.250.63.175","10","192.178.110.177","10","172.217.29.238","21"
"2025-10-28 08:30:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","14","True","100","Excelente","172.22.112.1","1","177.135.92.218","4","152.255.149.236","3","152.255.164.240","13","74.125.52.64","9","142.250.63.175","11","192.178.110.177","10","172.217.29.238","9"
"2025-10-28 08:38:03","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","14","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.25.221","6","100.120.26.35","11","142.251.69.137","12","209.85.244.85","12","142.250.219.206","12",,
"2025-10-28 08:40:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","48","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.25.221","4","100.120.26.35","11","142.251.69.137","12","209.85.244.85","12","142.250.219.206","12",,
"2025-10-28 08:40:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","46","True","100","Excelente","172.22.112.1","9","177.135.92.218","18","152.255.149.238","7","152.255.161.166","8","74.125.52.64","12","209.85.143.231","20","74.125.242.191","22","172.217.28.142","10"
"2025-10-28 08:50:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","20","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.25.221","3","100.120.26.35","11","142.251.69.137","12","209.85.244.85","13","142.250.219.206","11",,
"2025-10-28 08:50:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","16","True","100","Excelente","172.22.112.1","2","177.135.92.218","3","152.255.149.236","2","152.255.164.254","8","74.125.52.64","9","192.178.82.55","11","192.178.110.243","9","172.217.29.174","10"
"2025-10-28 09:00:01","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","22","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.25.221","3","100.120.26.35","13","142.251.69.137","12","209.85.244.85","12","142.250.219.206","12",,
"2025-10-28 09:00:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","14","True","100","Excelente",,,"177.135.92.218","9","152.255.148.71","10",,,"74.125.52.64","86","142.250.63.175","28","192.178.110.189","143","172.217.29.206","21"
"2025-10-28 09:10:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","17","True","100","Excelente","172.22.112.1","3","177.135.92.218","9","152.255.148.71","5","152.255.203.156","8","74.125.52.64","13","142.250.63.175","11","192.178.110.189","12","172.217.29.206","11"
"2025-10-28 09:12:42","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","23","True","100","Excelente","192.168.1.1","1","100.120.32.77","3","100.120.25.221","3","100.120.26.35","11","142.251.69.137","12","209.85.244.85","12","142.250.219.206","12",,
"2025-10-28 09:20:01","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","67","True","100","Excelente","165.225.214.98","11","8.243.34.13","12",,,"172.253.50.119","12","142.251.134.174","17",,,,,,
"2025-10-28 09:20:00","ARCO-PE0DQH8J","bruno.chervinski","Taboão da Serra","SP","200.186.148.18","Cirion Technologies do Brasil Ltda","200.186.148.18","meet.google.com","15","True","100","Excelente","172.22.112.1","1","177.135.92.218","11","152.255.149.236","5","187.100.60.231","11",,,"142.251.238.17","10","172.253.53.127","13","172.217.172.142","13"
"2025-10-28 09:20:10","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","67","True","100","Excelente",,,"177.195.26.9","9","200.249.20.229","8","200.244.211.235","59","201.39.52.58","58","142.250.214.91","59","142.251.245.47","66","142.250.219.14","66"
