"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms"
"2025-11-02 00:04:59","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","192","True","62","Aceitável","192.168.0.1","11","10.35.60.1","19","201.6.72.9","16","201.6.64.196","20","*","0","*","0","192.178.110.180","22","192.178.84.58","20","209.85.251.83","16","*","0","*","0","*","0","*","0","","","","","","","","","","","",""
"2025-11-02 00:27:27","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","238","True","53","Aceitável","192.168.1.1","45","100.64.0.1","78","172.16.30.1","58","45.189.68.5","58","172.17.16.17","66","172.17.1.74","33","*","0","*","0","192.178.110.182","103","142.251.255.6","36","216.239.62.65","37","172.217.29.142","63","","","","","","","","","","","","","",""
"2025-11-02 00:51:08","ARCO-C02FC050Q05G","guilherme.gomes","São Paulo","SP","201.81.0.245","Claro NXT Telecomunicacoes Ltda","201.81.0.245","meet.google.com","201","True","60","Aceitável","10.0.0.1","4","192.168.0.1","5","10.39.124.1","70","201.6.72.97","14","201.6.64.212","14","201.6.65.228","16","*","0","209.85.254.58","67","172.217.29.206","26","","","","","","","","","","","","","","","","","","","",""
"2025-11-02 00:41:07","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","224","True","56","Aceitável","*","0","*","0","*","0","201.6.64.196","19","*","0","*","0","209.85.249.36","37","192.178.84.58","17","209.85.249.17","18","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-11-02 00:58:58","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","101","True","80","Bom","165.225.214.105","19","165.225.214.3","16","8.243.34.13","21","200.189.212.154","24","8.243.145.162","19","*","0","108.170.232.146","20","192.178.84.180","17","142.251.255.13","16","","","","","","","","","","","","","","","","","","","",""
"2025-11-02 01:16:23","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","276","True","45","Ruim","*","0","10.35.60.1","42","201.6.72.9","17","201.6.64.196","19","*","0","*","0","108.170.248.214","16","216.239.56.208","19","209.85.253.1","25","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.30.142","21","","","",""
"2025-11-02 01:47:03","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","66","True","100","Excelente","165.225.214.99","23","165.225.214.3","18","8.243.34.13","23","200.189.212.154","23","8.243.145.162","30","*","0","108.170.229.40","21","192.178.110.189","20","172.217.29.206","18","","","","","","","","","","","","","","","","","","","",""
"2025-11-02 01:45:07","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","174","True","66","Aceitável","192.168.1.1","13","100.64.0.1","41","172.16.30.1","33","45.189.68.5","48","172.17.16.17","46","172.17.1.74","37","*","0","*","0","209.85.251.12","7","142.251.255.6","8","216.239.59.19","7","172.217.29.46","10","","","","","","","","","","","","","",""
"2025-11-02 01:49:47","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","98","True","100","Excelente","192.168.0.1","5","10.35.60.1","20","201.6.72.9","18","201.6.64.196","19","*","0","*","0","192.178.253.76","18","142.251.230.87","19","*","0","142.251.229.197","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","142.251.135.238","35","",""
"2025-11-02 02:07:58","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","204","True","60","Aceitável","165.225.214.105","16","165.225.214.3","16","8.243.34.13","19","200.189.212.154","34","8.243.145.162","18","*","0","172.253.78.32","65","108.170.238.181","32","172.217.30.142","18","","","","","","","","","","","","","","","","","","","",""
