"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms"
"2025-11-03 08:03:02","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","9","True","100","Excelente","10.50.112.1","1","201.61.35.194","3","74.125.52.64","3","209.85.143.231","4","108.170.238.181","59","172.217.30.142","8"
"2025-11-03 08:06:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","9","True","100","Excelente","10.50.112.1","1","201.61.35.194","220","74.125.52.64","3","142.250.63.175","11","209.85.245.67","5","142.250.219.238","3"
"2025-11-03 08:09:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","25","True","100","Excelente","10.50.112.1","1","201.61.35.194","19","74.125.52.64","3","209.85.143.231","3","74.125.242.191","3","172.217.28.142","3"
"2025-11-03 08:12:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","11","True","100","Excelente","10.50.112.1","1","201.61.35.194","3","74.125.52.64","4","192.178.82.55","5","192.178.110.179","4","172.217.29.238","2"
"2025-11-03 08:15:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","78","True","100","Excelente","10.50.112.1","1","201.61.35.194","8","74.125.52.64","2","192.178.82.55","4","192.178.110.179","3","172.217.29.238","3"
"2025-11-03 08:28:23","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","36","True","100","Excelente","172.18.50.1","3","177.135.92.218","5","152.255.145.18","5",,,,,"74.125.52.64","13"
"2025-11-03 08:30:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","18","True","100","Excelente","172.18.50.1","1","177.135.92.218","5",,,"152.255.164.252","9",,,"74.125.52.64","11"
"2025-11-03 08:31:38","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","14","True","100","Excelente","165.225.214.98","9","8.243.34.13","19","8.243.145.162","10","172.253.50.119","9","72.14.237.57","11","142.251.133.206","9"
"2025-11-03 08:33:02","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","55","True","100","Excelente","165.225.214.102","51","8.243.34.13","49","8.243.145.162","62","172.253.50.119","51","74.125.242.191","50","172.217.28.142","59"
"2025-11-03 08:33:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","16","True","100","Excelente","165.225.214.98","9","8.243.34.13","15","8.243.145.162","9","172.253.50.119","11","72.14.237.57","11","142.251.133.206","10"
"2025-11-03 08:33:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","24","True","100","Excelente","172.18.50.1","1","177.135.92.218","3","152.255.145.18","4","187.100.60.229","9",,,"74.125.52.64","12"
"2025-11-03 08:33:22","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","53","True","100","Excelente","165.225.214.102","51","8.243.34.13","52","8.243.145.162","60","172.253.50.119","49","74.125.242.191","52","172.217.28.142","51"
"2025-11-03 08:36:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","19","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","9","100.120.26.35","11","72.14.198.152","9","142.251.69.137","10"
"2025-11-03 08:36:00","ARCO-PE0DQH8J","bruno.chervinski","Taboão da Serra","SP","200.186.148.18","Cirion Technologies do Brasil Ltda","200.186.148.18","meet.google.com","22","True","100","Excelente","172.18.50.1","1","177.135.92.218","7",,,,,,,"74.125.52.64","9"
"2025-11-03 08:39:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","13","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","10","100.120.26.35","12","72.14.198.152","12","142.251.69.137","11"
"2025-11-03 08:39:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","17","True","100","Excelente","172.18.50.1","1","177.135.92.218","6",,,"152.255.161.166","7",,,"74.125.52.64","9"
"2025-11-03 08:39:55","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","73","True","100","Excelente","192.168.113.254","3",,,"200.244.211.235","47","200.244.18.8","49","201.39.52.58","49","142.250.213.133","57"
"2025-11-03 08:41:01","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","65","True","100","Excelente","192.168.113.254","5","200.244.80.153","5","200.244.211.235","47","200.244.18.8","50","201.39.52.58","50","142.250.213.133","49"
"2025-11-03 08:37:49","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.50.112.1","28","201.61.35.194","9","74.125.52.64","7","142.250.63.175","4","209.85.245.67","3","142.250.219.238","3"
"2025-11-03 08:41:32","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","112","True","78","Bom","10.50.112.1","8","201.61.35.194","5","74.125.52.64","4","142.250.63.175","11","209.85.245.67","5","142.250.219.238","3"
"2025-11-03 08:42:00","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","55","True","100","Excelente","165.225.214.102","51","8.243.34.13","50","8.243.145.162","50","172.253.50.119","49","74.125.37.181","51","142.251.134.46","49"
"2025-11-03 08:42:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","24","True","100","Excelente",,,"100.120.32.77","4","100.120.31.153","28","100.120.26.35","25","72.14.198.152","17","142.251.69.137","12"
"2025-11-03 08:42:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","20","True","100","Excelente","172.18.50.1","1","177.135.92.218","6",,,,,,,"74.125.52.64","14"
"2025-11-03 08:42:21","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","7","True","100","Excelente","10.50.112.1","1","201.61.35.194","4","74.125.52.64","6","142.250.63.175","3","209.85.245.67","4","142.250.219.238","3"
"2025-11-03 08:44:27","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","75","True","100","Excelente",,,"177.195.26.9","9",,,"200.244.80.14","18","200.244.211.235","64","200.244.18.8","66"
"2025-11-03 08:45:00","ARCO-PE0BVQVP","andreiasousa","Bragança Paulista","SP","165.225.214.102","ZSCALER, INC.","165.225.214.102","meet.google.com","57","True","100","Excelente","165.225.214.102","48","8.243.34.13","49","8.243.145.162","50","172.253.50.119","59","74.125.37.181","57","142.251.134.46","66"
"2025-11-03 08:45:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","10","True","100","Excelente","10.50.112.1","2","201.61.35.194","9","74.125.52.64","5","142.250.63.175","7","209.85.245.67","4","142.250.219.238","5"
"2025-11-03 08:45:09","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente",,,"177.195.26.9","7",,,"200.244.80.14","19","200.244.211.235","65","200.244.18.8","79"
"2025-11-03 08:45:09","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","31","True","100","Excelente","192.168.1.1","5","100.120.32.77","3","100.120.31.153","9","100.120.26.35","12","72.14.198.152","11","142.251.69.137","10"
"2025-11-03 08:45:00","ARCO-PE0DQH8J","bruno.chervinski","Curitiba","PR","177.135.77.226","Vivo","177.135.77.226","meet.google.com","15","True","100","Excelente","172.18.50.1","2","177.135.92.218","5",,,,,,,"74.125.52.64","11"
"2025-11-03 08:48:00","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","23","True","100","Excelente",,,"100.120.32.77","4","100.120.31.153","9","100.120.26.35","17","72.14.198.152","10","142.251.69.137","11"
"2025-11-03 08:48:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","71","True","100","Excelente",,,"177.195.26.9","9",,,"200.244.80.14","17","200.244.211.235","64","200.244.18.8","63"
"2025-11-03 08:48:00","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","9","True","100","Excelente","10.50.112.1","18","201.61.35.194","4","72.14.220.222","9","142.251.238.17","4","192.178.253.71","3","172.217.162.174","3"
"2025-11-03 08:48:00","ARCO-PE0DQH8J","bruno.chervinski","Taboão da Serra","SP","200.186.148.18","Cirion Technologies do Brasil Ltda","200.186.148.18","meet.google.com","20","True","100","Excelente","172.18.50.1","1","177.135.92.218","5",,,,,,,"74.125.52.64","11"
