"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms"
"2025-10-31 00:00:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","77","True","100","Excelente","165.225.214.99","19","165.225.214.3","18","8.243.34.13","22","200.189.212.154","38","8.243.145.162","17","*","0","209.85.252.160","46","216.239.62.64","19","172.217.172.142","22","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:03:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","72","True","100","Excelente","165.225.214.99","16","165.225.214.3","15","8.243.34.13","24","200.189.212.154","68","8.243.145.162","17","*","0","142.251.79.106","19","192.178.84.180","17","172.217.172.142","18","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:06:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","19","165.225.214.3","18","8.243.34.13","39","200.189.212.154","37","8.243.145.162","16","*","0","192.178.110.178","19","172.253.53.125","33","172.217.172.142","19","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:09:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","15","165.225.214.3","15","8.243.34.13","26","200.189.213.6","17","8.243.145.162","18","*","0","192.178.240.76","28","192.178.84.180","17","172.217.172.142","15","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:12:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","21","True","100","Excelente","165.225.214.99","15","165.225.214.3","15","8.243.34.13","16","200.189.213.6","17","8.243.145.162","18","*","0","108.170.232.146","26","216.239.59.18","18","209.85.251.83","17","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:15:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","18","165.225.214.3","15","8.243.34.13","15","*","0","8.243.145.162","27","*","0","192.178.110.176","15","172.217.172.142","16","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:15:59","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","98","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","28","*","0","*","0","*","0","209.85.252.160","7","216.239.62.64","6","172.217.172.142","6","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:18:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","84","True","100","Excelente","165.225.214.99","21","165.225.214.3","18","8.243.34.13","17","*","0","8.243.145.162","16","*","0","172.253.53.120","24","172.253.53.127","25","209.85.253.1","18","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:18:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","26","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","*","0","*","0","192.178.253.66","6","172.253.53.127","6","209.85.249.17","6","172.217.172.142","5","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:21:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","25","True","100","Excelente","165.225.214.99","21","165.225.214.3","19","8.243.34.13","22","*","0","8.243.145.162","40","*","0","192.178.110.172","19","216.239.62.64","16","209.85.254.59","17","172.217.172.142","18","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:24:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","29","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","19","*","0","74.125.52.64","5","142.250.63.175","5","192.178.110.177","6","172.217.29.238","6","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:27:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","17","165.225.214.3","15","8.243.34.13","16","200.189.212.154","22","8.243.145.162","18","*","0","209.85.252.160","28","172.253.53.125","16","142.251.255.7","23","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:27:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","24","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","8","*","0","74.125.52.64","5","142.250.63.175","6","192.178.110.179","6","172.217.29.238","6","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:30:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","15","165.225.214.3","15","8.243.34.13","16","200.189.213.6","19","8.243.145.162","17","*","0","192.178.253.68","17","192.178.84.180","89","172.217.172.142","19","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:33:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","61","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","15","200.189.212.154","17","8.243.145.162","24","*","0","108.170.229.40","27","172.253.53.125","15","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:36:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","20","165.225.214.3","20","8.243.34.13","20","*","0","8.243.145.162","24","*","0","192.178.110.200","24","172.253.53.125","31","172.217.172.142","34","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:39:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","15","165.225.214.3","19","8.243.34.13","36","*","0","8.243.145.162","28","*","0","192.178.240.76","29","216.239.62.64","16","172.217.172.142","19","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:42:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","20","True","100","Excelente","165.225.214.99","32","165.225.214.3","19","8.243.34.13","38","*","0","8.243.145.162","39","*","0","108.170.232.146","47","192.178.84.54","24","172.217.172.142","25","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:45:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","16","165.225.214.3","15","8.243.34.13","16","200.189.212.154","19","8.243.145.162","16","*","0","192.178.110.202","21","192.178.84.178","17","172.217.172.142","19","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:48:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","72","True","100","Excelente","165.225.214.99","16","165.225.214.3","16","8.243.34.13","16","200.189.212.154","19","8.243.145.162","19","*","0","142.251.196.190","23","216.239.56.208","16","209.85.253.1","30","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:51:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","17","165.225.214.3","17","8.243.34.13","16","200.189.212.154","17","8.243.145.162","16","*","0","192.178.110.176","19","192.178.84.58","18","172.217.172.142","18","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:54:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","36","True","100","Excelente","165.225.214.99","18","165.225.214.3","19","8.243.34.13","21","200.189.212.154","29","8.243.145.162","28","*","0","142.251.79.106","30","172.253.53.125","69","172.217.172.142","24","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 00:38:36","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","230","True","54","Aceitável","*","0","10.35.60.1","18","201.6.72.9","21","201.6.64.196","19","*","0","*","0","209.85.252.160","18","216.239.56.208","22","209.85.249.17","16","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-10-31 00:57:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","18","165.225.214.3","15","8.243.34.13","17","200.189.213.6","16","8.243.145.162","17","*","0","142.251.229.196","26","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-31 01:00:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","20","True","100","Excelente","165.225.214.99","24","165.225.214.3","22","8.243.34.13","26","200.189.213.6","38","8.243.145.162","24","*","0","209.85.251.12","37","192.178.84.178","29","142.251.255.7","47","","","","","","","","","","","","","","","","","","","",""
