"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms"
"2025-11-07 00:00:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","29","True","100","Excelente","165.225.214.105","7","165.225.214.3","8","8.243.34.13","16","*","0","8.243.145.162","7","*","0","192.178.253.82","17","209.85.254.58","8","216.239.56.209","6","209.85.249.37","7","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:03:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","29","True","100","Excelente","165.225.214.105","6","165.225.214.3","7","8.243.34.13","7","200.189.213.6","6","8.243.145.162","7","*","0","192.178.110.242","9","209.85.249.16","8","142.250.219.238","7","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:03:51","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","241","True","52","Aceitável","10.50.112.1","47","*","0","201.61.35.194","16","*","0","*","0","142.251.228.185","8","142.251.196.189","5","142.250.79.206","5","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:06:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","77","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","8","200.189.212.154","6","8.243.145.162","7","*","0","172.253.53.126","8","209.85.253.0","9","216.239.59.19","7","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:09:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","146","True","71","Bom","165.225.214.105","15","165.225.214.3","11","8.243.34.13","6","200.189.212.154","15","8.243.145.162","6","*","0","142.250.238.248","7","142.251.255.6","9","192.178.84.181","7","192.178.240.75","7","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:09:36","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","152","True","70","Bom","*","0","*","0","*","0","*","0","*","0","*","0","142.251.48.34","20","108.170.238.181","13","*","0","108.170.238.181","20","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-11-07 00:12:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","31","True","100","Excelente","165.225.214.105","19","165.225.214.3","17","8.243.34.13","19","200.189.213.6","19","8.243.145.162","17","*","0","192.178.240.74","18","142.250.238.249","24","172.217.30.142","26","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:15:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","116","True","77","Bom","165.225.214.105","6","165.225.214.3","6","8.243.34.13","7","200.189.213.6","20","8.243.145.162","8","*","0","192.178.110.172","8","216.239.62.64","8","209.85.249.17","7","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:18:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","98","True","100","Excelente","165.225.214.105","11","165.225.214.3","6","8.243.34.13","13","200.189.212.154","14","8.243.145.162","7","*","0","108.170.248.214","8","216.239.62.44","8","209.85.251.83","7","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-07 00:21:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","25","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","6","200.189.213.6","6","8.243.145.162","7","*","0","192.178.105.220","7","216.239.59.18","10","209.85.249.17","7","","","","","","","","","","","","","","","","","","","","","",""
