"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms"
"2025-10-29 02:30:18","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","75","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","3","2804:d50:1:e000::7","3","2001:4860:1:1::f72","10","2001:4860:0:1::1066","12","2001:4860:0:1::7ca8","11","2001:4860:0:1::7cc5","12","2001:4860:0:1::4615","12","2800:3f0:4001:816::200e","12"
"2025-10-29 02:40:03","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","40","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","1","2804:d50:1:e000::7","4","2001:4860:1:1::f72","11","2001:4860:0:1::1066","15","2001:4860:0:1::7ca8","13","2001:4860:0:1::7cc5","13","2001:4860:0:1::4615","13","2800:3f0:4001:816::200e","12"
"2025-10-29 03:01:54","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","52","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","1","2804:d50:1:e000::7","8","2001:4860:1:1::f72","12","2001:4860:0:1::1066","12",,,"2001:4860:0:1::7cc5","12","2001:4860:0:1::4615","12","2800:3f0:4001:816::200e","14"
"2025-10-29 03:10:03","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","47","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","2","2804:d50:1:e000::7","4","2001:4860:1:1::f72","26","2001:4860:0:1::1066","14","2001:4860:0:1::7ca8","15","2001:4860:0:1::7cc5","13","2001:4860:0:1::4615","15","2800:3f0:4001:816::200e","13"
"2025-10-29 03:30:28","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","63","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","1","2804:d50:1:e000::7","29",,,,,,,,,,,,
"2025-10-29 03:52:25","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","2","2804:d50:1:e000::7","3",,,,,,,,,,,,
"2025-10-29 04:31:27","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","1",,,,,,,,,,,,,,
"2025-10-29 06:26:44","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","37","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","3","2804:d50:1:e000::7","4","2001:4860:1:1::f72","13","2001:4860:0:1::1066","14","2001:4860:0:1::7ca8","14","2001:4860:0:1::7cc5","12","2001:4860:0:1::4615","14","2800:3f0:4001:816::200e","14"
"2025-10-29 06:27:15","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","34","True","100","Excelente","2804:d55:5e02:3400:1694:48ff:fe9d:f0a8","5","2804:d50:1:e000::7","4","2001:4860:1:1::f72","18","2001:4860:0:1::1066","14","2001:4860:0:1::7ca8","14","2001:4860:0:1::7cc5","13","2001:4860:0:1::4615","17","2800:3f0:4001:816::200e","14"
"2025-10-29 07:39:27","ARCO-PE0DQH5A","danielcruz","São Roque","SP","165.225.214.101","ZSCALER, INC.","165.225.214.101","meet.google.com","24","True","100","Excelente","165.225.214.101","11","165.225.214.3","9","200.189.212.154","10","142.250.232.127","10","108.170.248.215","10","172.217.29.110","12",,,,
