"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms"
"2025-10-29 00:27:41","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","169","True","67","Aceitável","165.225.214.105","67","165.225.214.3","66","8.243.34.13","67","200.189.212.154","45","8.243.145.162","92","*","0","192.178.253.78","35","216.239.59.18","20","142.251.255.7","27","142.250.208.13","19","172.217.28.206","27","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 00:54:28","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","183","True","64","Aceitável","*","0","*","0","201.6.72.9","62","201.6.64.196","22","*","0","*","0","172.253.53.120","65","142.251.255.52","19","216.239.59.19","28","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","",""
"2025-10-29 01:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","18","True","100","Excelente","192.168.0.1","5","10.35.60.1","25","201.6.72.9","17","201.6.64.196","19","*","0","*","0","142.250.237.130","22","192.178.253.69","20","*","0","192.178.253.71","18","*","0","*","0","172.217.162.174","37","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 01:58:40","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","141","True","72","Bom","*","0","10.35.60.1","17","201.6.72.9","25","201.6.64.196","18","*","0","*","0","192.178.240.100","48","216.239.56.208","18","142.251.255.7","16","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.172.174","24"
"2025-10-29 02:16:10","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","97","True","100","Excelente","165.225.214.105","20","165.225.214.3","18","8.243.34.13","16","200.189.212.154","15","8.243.145.162","18","*","0","172.253.53.124","32","172.253.53.123","17","172.217.30.238","21","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 02:49:17","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","74","True","100","Excelente","165.225.214.105","20","165.225.214.3","19","8.243.34.13","36","200.189.212.154","19","8.243.145.162","18","*","0","108.170.238.180","17","192.178.84.58","34","142.251.255.7","18","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 03:07:02","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","63","True","100","Excelente","192.168.0.1","5","10.35.60.1","16","201.6.72.9","15","201.6.64.196","26","*","0","*","0","209.85.244.84","23","108.170.248.213","18","*","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 03:09:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","44","True","100","Excelente","165.225.214.105","24","165.225.214.3","17","8.243.34.13","22","200.189.213.6","21","8.243.145.162","18","*","0","108.170.235.138","40","108.170.248.213","20","216.239.56.209","22","108.170.248.215","18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 03:12:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","19","True","100","Excelente","165.225.214.105","16","165.225.214.3","17","8.243.34.13","22","200.189.212.154","17","8.243.145.162","17","*","0","108.170.232.146","19","108.170.248.213","46","172.217.29.110","18","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-10-29 03:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","95","True","100","Excelente","165.225.214.105","21","165.225.214.3","23","8.243.34.13","18","200.189.212.154","16","8.243.145.162","16","*","0","108.170.248.4","20","192.178.84.178","19","142.251.135.238","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
