"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms"
"2025-11-13 00:00:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","19","True","100","Excelente","10.50.112.1","2","201.61.35.194","197","74.125.52.64","3","142.251.228.185","6","142.250.237.131","3","172.217.30.110","3"
"2025-11-13 00:03:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","40","True","100","Excelente","10.50.112.1","2","201.61.35.194","3","72.14.220.222","3","142.251.238.17","4","172.253.53.127","3","172.217.172.142","3"
"2025-11-13 00:06:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","18","True","100","Excelente","10.50.112.1","1","201.61.35.194","2","72.14.220.222","3","142.251.238.17","4","172.253.53.127","3","172.217.172.142","3"
"2025-11-13 00:09:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","18","True","100","Excelente","10.50.112.1","2","201.61.35.194","17","74.125.52.64","3","142.251.228.185","5","142.250.237.131","3","172.217.30.110","3"
"2025-11-13 00:12:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","45","True","100","Excelente","10.50.112.1","1","201.61.35.194","3",,,"192.178.82.55","4","192.178.110.191","4","172.217.29.206","3"
"2025-11-13 00:12:21","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","14","True","100","Excelente","192.168.1.1","30","8.243.34.13","19","8.243.145.162","12","172.253.50.119","11","142.250.237.129","15","142.251.134.174","11"
"2025-11-13 00:15:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","13","True","100","Excelente","10.50.112.1","2","201.61.35.194","3","74.125.52.64","3","192.178.82.55","4","192.178.110.191","3","172.217.29.206","3"
"2025-11-13 00:18:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","43","True","100","Excelente","10.50.112.1","2","201.61.35.194","3","72.14.220.222","4","142.251.238.17","4","172.253.53.127","3","172.217.172.142","2"
"2025-11-13 00:21:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","19","True","100","Excelente","10.50.112.1","2","201.61.35.194","3","72.14.220.222","4","142.251.238.17","5","172.253.53.127","3","172.217.172.142","2"
"2025-11-13 00:24:04","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","36","True","100","Excelente","10.50.112.1","1","201.61.35.194","3","74.125.52.64","3","142.250.63.175","4","192.178.110.169","3","172.217.29.142","3"
"2025-11-13 00:27:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","39","True","100","Excelente","10.50.112.1","1","201.61.35.194","3","74.125.52.64","3","142.250.63.175","3","209.85.244.61","3","142.250.219.206","3"
"2025-11-13 00:28:26","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","2113","True","0","Ruim","192.168.1.1","1","100.120.32.77","5","100.120.31.153","10","100.120.26.35","12","72.14.198.152","12","142.251.69.137","12"
"2025-11-13 00:30:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","37","True","100","Excelente","10.50.112.1","2","201.61.35.194","71","74.125.52.64","3","192.178.82.55","4","192.178.110.179","3","172.217.29.238","2"
"2025-11-13 00:33:01","IS-SP29","guilherme.jesus","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","27","True","100","Excelente","10.50.112.1","2","201.61.35.194","12",,,"142.251.228.185","4","142.250.237.131","3","172.217.30.110","3"
"2025-11-13 00:34:18","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","29","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","10","100.120.26.35","13","72.14.198.152","13","142.251.69.137","12"
"2025-11-13 00:36:32","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","266","True","47","Ruim","192.168.1.1","2","100.120.32.77","4","100.120.31.153","12","100.120.26.35","12","72.14.198.152","19","142.251.69.137","13"
"2025-11-13 00:39:48","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","22","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","11","100.120.26.35","15","72.14.198.152","12","142.251.69.137","13"
"2025-11-13 00:42:19","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","19","True","100","Excelente","192.168.1.1","1","100.120.32.77","29","100.120.31.153","10","100.120.26.35","16","72.14.198.152","12","142.251.69.137","12"
"2025-11-13 00:51:26","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","27","True","100","Excelente","192.168.1.1","1","100.120.32.77","5","100.120.31.153","10","100.120.26.35","12","72.14.198.152","13","142.251.69.137","13"
"2025-11-13 00:54:16","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","192.168.1.1","1","100.120.32.77","5","100.120.19.57","12","100.120.25.64","10","201.10.242.247","13","209.85.244.163","13"
"2025-11-13 01:09:11","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","192.168.1.1","2","100.120.32.77","4","100.120.19.57","11","100.120.25.64","11","201.10.242.247","14","209.85.244.163","13"
"2025-11-13 01:12:19","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","18","True","100","Excelente","192.168.1.1","1","100.120.32.77","3","100.120.19.57","13","100.120.25.64","10","201.10.242.247","12","209.85.244.163","12"
"2025-11-13 01:22:20","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","2044","True","0","Ruim","165.225.214.98","11","8.243.34.13","12","8.243.145.162","13","172.253.50.119","10","72.14.237.57","12","142.251.133.206","11"
"2025-11-13 01:28:40","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","22","True","100","Excelente","192.168.1.1","1","100.120.32.77","3","100.120.31.153","10","100.120.26.35","13","72.14.198.152","12","142.251.69.137","14"
"2025-11-13 01:30:48","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","192.168.1.1","1","100.120.32.79","4","100.120.19.55","10","100.120.20.182","10","201.10.242.247","10","108.170.232.1","14"
"2025-11-13 01:36:11","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","30","True","100","Excelente","192.168.1.1","1","100.120.32.79","3","100.120.19.55","10","100.120.20.182","11",,,"108.170.232.1","13"
"2025-11-13 01:52:07","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","25","True","100","Excelente","192.168.1.1","1","100.120.32.77","6","100.120.31.153","11","100.120.26.35","12","72.14.198.152","10","142.251.69.137","13"
"2025-11-13 01:57:08","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","29","True","100","Excelente","192.168.1.1","2","100.120.32.77","5","100.120.31.153","10","100.120.26.35","13","72.14.198.152","13","142.251.69.137","13"
"2025-11-13 02:00:19","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","773","True","0","Ruim","192.168.1.1","1","100.120.32.77","3","100.120.31.153","10","100.120.26.35","21","72.14.198.152","14","142.251.69.137","13"
"2025-11-13 02:13:19","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","20","True","100","Excelente","165.225.214.98","10","8.243.34.13","13","8.243.145.162","13","172.253.50.119","12","142.250.237.129","13","142.251.134.174","13"
