"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms","Hop_26_IP","Hop_26_Latency_ms","Hop_27_IP","Hop_27_Latency_ms","Hop_28_IP","Hop_28_Latency_ms","Hop_29_IP","Hop_29_Latency_ms","Hop_30_IP","Hop_30_Latency_ms","Hop_31_IP","Hop_31_Latency_ms","Hop_32_IP","Hop_32_Latency_ms","Hop_33_IP","Hop_33_Latency_ms","Hop_34_IP","Hop_34_Latency_ms","Hop_35_IP","Hop_35_Latency_ms","Hop_36_IP","Hop_36_Latency_ms","Hop_37_IP","Hop_37_Latency_ms","Hop_38_IP","Hop_38_Latency_ms","Hop_39_IP","Hop_39_Latency_ms","Hop_40_IP","Hop_40_Latency_ms","Hop_41_IP","Hop_41_Latency_ms","Hop_42_IP","Hop_42_Latency_ms","Hop_43_IP","Hop_43_Latency_ms","Hop_44_IP","Hop_44_Latency_ms","Hop_45_IP","Hop_45_Latency_ms","Hop_46_IP","Hop_46_Latency_ms","Hop_47_IP","Hop_47_Latency_ms","Hop_48_IP","Hop_48_Latency_ms","Hop_49_IP","Hop_49_Latency_ms","Hop_50_IP","Hop_50_Latency_ms","Hop_51_IP","Hop_51_Latency_ms","Hop_52_IP","Hop_52_Latency_ms","Hop_53_IP","Hop_53_Latency_ms","Hop_54_IP","Hop_54_Latency_ms","Hop_55_IP","Hop_55_Latency_ms","Hop_56_IP","Hop_56_Latency_ms","Hop_57_IP","Hop_57_Latency_ms","Hop_58_IP","Hop_58_Latency_ms","Hop_59_IP","Hop_59_Latency_ms","Hop_60_IP","Hop_60_Latency_ms","Hop_61_IP","Hop_61_Latency_ms","Hop_62_IP","Hop_62_Latency_ms","Hop_63_IP","Hop_63_Latency_ms","Hop_64_IP","Hop_64_Latency_ms"
"2025-11-04 00:00:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","62","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","6","*","0","74.125.52.64","5","192.178.82.55","8","192.178.240.75","5","142.250.78.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:03:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","23","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","9","*","0","74.125.52.64","6","142.250.63.175","6","192.178.240.75","5","142.250.78.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:03:31","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","172","True","66","Aceitável","165.225.214.105","17","165.225.214.3","16","8.243.34.13","27","*","0","8.243.145.162","20","*","0","192.178.253.76","61","192.178.84.178","19","209.85.254.59","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:06:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","67","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","8","*","0","*","0","142.251.228.185","7","142.250.237.131","6","172.217.30.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:09:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","30","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","6","*","0","74.125.52.64","8","209.85.143.231","5","142.250.230.117","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:12:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","59","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","74.125.52.64","5","142.251.228.185","7","142.250.230.117","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:15:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","68","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","74.125.52.64","6","142.251.228.185","8","142.250.230.117","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:18:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","29","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","12","187.100.54.4","6","74.125.52.64","6","209.85.143.231","6","142.250.237.131","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:18:48","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","126","True","75","Bom","165.225.214.99","14","165.225.214.3","18","8.243.34.13","16","200.189.213.6","17","8.243.145.162","15","*","0","192.178.253.66","18","142.251.252.158","16","216.239.56.209","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:21:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","66","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","74.125.52.64","6","142.250.63.175","6","192.178.110.177","6","172.217.29.238","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
