"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms"
"2025-11-06 00:00:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","8","177.195.26.9","39","200.179.185.9","7","200.244.80.14","17","200.244.211.235","64","200.244.18.8","63","201.39.52.58","62","142.250.214.91","63","142.251.48.147","66","142.250.78.174","68"
"2025-11-06 00:00:41","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","20","True","100","Excelente",,,"100.120.32.77","6","100.120.25.221","3","100.120.26.35","12","72.14.198.152","11","142.251.69.137","38","209.85.244.85","21","142.250.219.206","11",,,,
"2025-11-06 00:03:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","74","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.9","7","200.244.80.14","19","200.244.211.235","64","200.244.18.8","63","201.39.52.58","63","142.250.214.91","65","142.251.48.147","66","142.250.78.174","66"
"2025-11-06 00:03:04","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","28","True","100","Excelente",,,"100.120.32.77","4","100.120.25.221","4","100.120.26.35","20","72.14.198.152","11","142.251.69.137","35","209.85.244.85","22","142.250.219.206","11",,,,
"2025-11-06 00:06:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","75","True","100","Excelente","10.13.0.1","7","177.195.26.9","10","200.249.20.229","7","200.244.211.235","68","200.244.18.8","67","201.39.52.58","67","142.250.214.91","67","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 00:09:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","7","177.195.26.9","21","200.249.20.229","8","200.244.211.235","68","200.244.18.8","67","201.39.52.58","66","142.250.214.91","67","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 00:12:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","7","177.195.26.9","8","200.249.20.249","7","200.244.80.14","17","200.244.211.235","65","200.244.18.8","65","201.39.52.58","66","142.250.214.29","66","216.239.42.205","67","172.217.162.206","66"
"2025-11-06 00:15:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.179.185.9","7","200.244.80.14","18","200.244.211.235","65","200.244.18.8","63","201.39.52.58","62","142.250.214.91","63","142.251.48.147","66","142.250.78.174","66"
"2025-11-06 00:18:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","76","True","100","Excelente","10.13.0.1","9","177.195.26.9","15","200.179.185.9","8","200.244.80.14","18","200.244.211.235","65","200.244.18.8","63","201.39.52.58","62","142.250.214.91","64","142.251.48.147","65","142.250.78.174","66"
"2025-11-06 00:21:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","74","True","100","Excelente","10.13.0.1","7","177.195.26.9","47","200.179.185.5","7","200.244.80.14","17","200.244.211.235","63","200.244.18.8","63","201.39.52.58","62","142.250.213.133","64","216.239.42.207","66","142.251.132.238","67"
