"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms"
"2025-10-28 10:20:00","ARCO-J7RXX20HDH","joaomaziteli","São Paulo","SP","200.106.222.138","Likenet Telecom Ltda","200.106.222.138","lens.meet.l.google.com","NULL","False","0","Falha Crítica (Serviço Inacessível)","192.168.3.1","4","100.65.0.1","5","172.31.255.1","5","200.106.222.37","6","187.16.221.212","6","142.251.53.99","6","192.178.110.243","6","74.125.250.129","6","","","",""
"2025-10-28 10:24:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","176","True","65","Aceitável","165.225.214.105","36","165.225.214.3","30","8.243.34.13","30","*","0","8.243.145.162","23","*","0","108.170.248.212","25","192.178.84.58","46","209.85.253.1","31","",""
"2025-10-28 10:27:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","163","True","68","Aceitável","165.225.214.105","21","165.225.214.3","17","8.243.34.13","22","200.189.212.154","34","*","0","*","0","142.250.208.12","21","192.178.84.178","36","172.217.162.14","24","",""
"2025-10-28 10:30:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","21","True","100","Excelente","165.225.214.105","19","165.225.214.3","16","8.243.34.13","33","*","0","8.243.145.162","18","*","0","192.178.253.70","19","216.239.59.18","22","209.85.249.17","22","",""
"2025-10-28 10:33:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","151","True","70","Bom","165.225.214.105","18","165.225.214.3","25","8.243.34.13","21","*","0","8.243.145.162","20","*","0","192.178.110.176","22","216.239.59.18","19","172.217.162.14","31","",""
"2025-10-28 10:36:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","24","True","100","Excelente","165.225.214.105","18","165.225.214.3","20","8.243.34.13","20","*","0","8.243.145.162","20","*","0","142.250.208.12","19","192.178.84.178","21","172.217.162.14","26","",""
"2025-10-28 10:39:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","34","True","100","Excelente","165.225.214.105","20","165.225.214.3","19","8.243.34.13","21","*","0","8.243.145.162","28","*","0","142.251.229.196","19","192.178.84.54","28","142.251.255.13","25","",""
"2025-10-28 10:42:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","220","True","56","Aceitável","165.225.214.105","15","165.225.214.3","20","8.243.34.13","27","*","0","8.243.145.162","18","*","0","192.178.110.202","21","192.178.84.180","27","142.251.252.159","17","",""
"2025-10-28 10:45:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","25","True","100","Excelente","165.225.214.105","17","165.225.214.3","20","8.243.34.13","18","*","0","8.243.145.162","20","*","0","142.251.79.106","29","192.178.84.58","33","142.251.255.7","23","172.217.162.14","17"
"2025-10-28 10:48:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","28","True","100","Excelente","165.225.214.105","18","165.225.214.3","19","8.243.34.13","23","*","0","8.243.145.162","18","*","0","192.178.253.82","37","192.178.253.79","57","","","",""
"2025-10-28 10:51:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","26","True","100","Excelente","165.225.214.105","22","165.225.214.3","20","8.243.34.13","21","*","0","8.243.145.162","20","*","0","108.170.248.212","28","192.178.84.54","23","209.85.251.83","18","",""
"2025-10-28 10:54:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","29","True","100","Excelente","165.225.214.105","20","165.225.214.3","25","8.243.34.13","19","*","0","8.243.145.162","19","*","0","108.170.248.212","20","216.239.62.44","20","172.217.162.14","26","",""
